,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-06-10 14:19:13,復興南路二段235號前,27,1
1,YouBike2.0_復興南路二段273號前,21,1,大安區,2023-06-10 14:16:14,復興南路二段273號西側,20,1
2,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-06-10 14:08:04,和平東路二段96巷7號,16,1
7,YouBike2.0_新生南路三段52號前,17,0,大安區,2023-06-10 14:07:04,新生南路三段52號,17,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-06-10 14:01:14,辛亥路一段30號,6,1
12,YouBike2.0_羅斯福路三段311號前,11,2,大安區,2023-06-10 14:19:13,羅斯福路三段311號,9,1
13,YouBike2.0_大安運動中心停車場,14,0,大安區,2023-06-10 14:13:04,敦南街76巷28號,14,1
14,YouBike2.0_羅斯福路三段245號前,8,1,大安區,2023-06-10 14:05:15,羅斯福路三段245號,7,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-06-10 14:14:14,羅斯福路三段283巷11號,4,1
17,YouBike2.0_溫州停車場,5,0,大安區,2023-06-10 14:12:03,新生南路三段54巷/溫州街口,5,1
18,YouBike2.0_銘傳國小側門,7,0,大安區,2023-06-10 14:06:04,羅斯福路四段21號旁天橋下,7,1
21,YouBike2.0_臺灣科技大學正門,30,2,大安區,2023-06-10 14:03:14,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),27,1
23,YouBike2.0_公館公園,15,0,大安區,2023-06-10 14:07:04,羅斯福路四段113巷基隆路四段41巷口,15,1
24,YouBike2.0_臺灣科技大學後門,39,0,大安區,2023-06-10 14:14:04,基隆路四段41巷68弄臺科帆船大樓旁,37,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,3,大安區,2023-06-10 14:19:13,基隆路三段155巷57號西側,17,1
26,YouBike2.0_臺大環研大樓,15,2,大安區,2023-06-10 14:04:14,芳蘭路/基隆路三段155巷口,13,1
27,YouBike2.0_臺大永齡生醫工程館,34,3,大安區,2023-06-10 14:19:13,芳蘭路51號西北側,31,1
28,YouBike2.0_臺大男七舍前,20,0,大安區,2023-06-10 14:13:04,長興街/長興街80巷口西側,20,1
29,YouBike2.0_臺大男一舍前,61,0,大安區,2023-06-10 14:17:28,長興街50號西北側,61,1
31,YouBike2.0_臺大動物醫院前,18,1,大安區,2023-06-10 14:17:38,基隆路三段155巷/基隆路四段口,17,1
32,YouBike2.0_臺大土木研究大樓前,24,5,大安區,2023-06-10 12:54:16,辛亥路三段188號,19,1
33,YouBike2.0_臺大萬才館前,20,4,大安區,2023-06-10 12:48:16,臺大萬才館北側,16,1
34,YouBike2.0_臺大國青大樓宿舍前,20,0,大安區,2023-06-10 13:52:04,辛亥路三段30號西北側,20,1
38,YouBike2.0_辛亥新生路口東南側,41,2,大安區,2023-06-10 14:06:15,辛亥新生路口東南側,39,1
39,YouBike2.0_基隆長興路口東側,15,3,大安區,2023-06-10 14:15:15,基隆長興路口東側,12,1
41,YouBike2.0_和平實小東北側,13,0,大安區,2023-06-10 12:51:04,敦南街73號,13,1
43,YouBike2.0_辛亥泰順街口,20,2,大安區,2023-06-10 14:16:15,辛亥泰順街口東南側,18,1
51,YouBike2.0_法治公園,15,1,大安區,2023-06-10 14:12:03,通化街189號西側,14,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,2,大安區,2023-06-10 14:13:14,辛亥路一段/羅斯福路三段口北側(辛亥路側),13,1
55,YouBike2.0_和平泰順街口,9,5,大安區,2023-06-10 14:19:13,和平東路一段/泰順街口東南側,4,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-06-10 14:08:04,和平東路一段19號前,14,1
64,YouBike2.0_金甌女中,12,3,大安區,2023-06-10 14:03:15,信義路二段與杭州南路二段東南側,8,1
67,YouBike2.0_敦化南路二段293巷口南側,14,1,大安區,2023-06-10 13:42:03,敦化南路二段293巷口南側,13,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-06-10 14:18:14,通化街111號,29,1
71,YouBike2.0_臨江街夜市(基隆路),17,1,大安區,2023-06-10 14:12:13,基隆路二段108號,16,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-06-03 19:11:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,1,大安區,2023-06-10 14:17:38,信義路4段6號(前),12,1
81,YouBike2.0_信義大安路口(信維大樓),12,3,大安區,2023-06-10 14:18:14,信義路四段74號(前),9,1
86,YouBike2.0_捷運信義安和站(2號出口),26,2,大安區,2023-06-10 14:19:13,信義路四段188號前,24,1
87,YouBike2.0_八德市場,30,4,大安區,2023-06-10 14:16:15,市民大道三段170號,26,1
88,YouBike2.0_昌隆公園,16,3,大安區,2023-06-10 14:15:15,市民大道三段206號西側,13,1
90,YouBike2.0_信義延吉街口,15,3,大安區,2023-06-10 14:15:15,信義路四段353號,11,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,4,大安區,2023-06-10 14:17:38,光復南路290巷5號,16,1
99,YouBike2.0_敦化市民路口,23,5,大安區,2023-06-10 14:06:15,敦化南路1段158號(前),18,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,1,大安區,2023-06-10 14:18:14,捷運大安森林公園站(5號出口)東側,13,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-06-10 14:19:13,東豐街24號(旁公園路側),18,1
103,YouBike2.0_德安公園(四維路66巷),14,4,大安區,2023-06-10 14:09:14,四維路66巷6號北側,9,1
